open_time,close_time,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,Duration (DD:HH:MM:SS),change_pct,trade_id,aligned_candle_idx,timestamp,aligned_candle_timestamp
2021-04-02 00:48:00+00:00,2021-04-02 00:52:00+00:00,XAUUSD,Buy,0.18,1825.02,0.0,1826.52,1825.02,-150.0,-27.81,00:00:04:00,-1.03,997,1176753,2021-04-01 20:55:00+00:00,2021-04-01 20:55:00+00:00
2021-04-02 13:04:00+00:00,2021-04-02 13:07:00+00:00,XAUUSD,Buy,0.18,1799.08,0.0,1800.58,1799.08,-150.0,-27.81,00:00:03:00,-1.04,996,1176753,2021-04-01 20:55:00+00:00,2021-04-01 20:55:00+00:00
2021-04-08 14:21:00+00:00,2021-04-08 14:25:00+00:00,XAUUSD,Buy,0.22,1810.98,0.0,1812.48,1810.98,-150.0,-33.99,00:00:04:00,-1.02,964,1177778,2021-04-08 14:20:00+00:00,2021-04-08 14:20:00+00:00
2021-05-02 13:07:00+00:00,2021-05-02 13:15:00+00:00,XAUUSD,Buy,0.18,1798.8,0.0,1797.12,1798.8,168.0,29.43,00:00:08:00,1.12,995,1182273,2021-04-30 20:55:00+00:00,2021-04-30 20:55:00+00:00
2021-06-01 11:00:00+00:00,2021-06-01 11:04:00+00:00,XAUUSD,Buy,0.17,1947.9,0.0,1945.49,1947.9,241.0,40.2,00:00:04:00,1.54,1008,1188154,2021-06-01 11:00:00+00:00,2021-06-01 11:00:00+00:00
2021-06-08 12:46:00+00:00,2021-06-08 12:46:00+00:00,XAUUSD,Buy,0.22,1778.12,0.0,1779.62,1778.12,-150.0,-33.99,00:00:00:00,-1.03,963,1189555,2021-06-08 12:45:00+00:00,2021-06-08 12:45:00+00:00
2021-07-01 13:44:00+00:00,2021-07-01 13:52:00+00:00,XAUUSD,Buy,0.18,1912.9,0.0,1908.39,1912.9,451.0,80.37,00:00:08:00,3.04,1007,1194234,2021-07-01 13:40:00+00:00,2021-07-01 13:40:00+00:00
2021-07-05 13:07:00+00:00,2021-07-05 13:09:00+00:00,XAUUSD,Buy,0.18,1829.18,0.0,1830.68,1829.18,-150.0,-27.81,00:00:02:00,-1.0,980,1194779,2021-07-05 13:05:00+00:00,2021-07-05 13:05:00+00:00
2021-07-05 14:51:00+00:00,2021-07-05 15:24:00+00:00,XAUUSD,Buy,0.18,1834.5,0.0,1829.32,1834.5,518.0,92.43,00:00:33:00,3.37,979,1194800,2021-07-05 14:50:00+00:00,2021-07-05 14:50:00+00:00
2021-07-09 09:52:00+00:00,2021-07-09 10:52:00+00:00,XAUUSD,Buy,0.22,1809.62,0.0,1811.12,1809.62,-150.0,-33.99,00:01:00:00,-1.05,958,1195796,2021-07-09 09:50:00+00:00,2021-07-09 09:50:00+00:00
2021-08-01 07:09:00+00:00,2021-08-01 07:11:00+00:00,XAUUSD,Buy,0.18,1885.19,0.0,1886.69,1885.19,-150.0,-27.81,00:00:02:00,-1.02,1006,1200069,2021-07-30 20:55:00+00:00,2021-07-30 20:55:00+00:00
2021-08-01 13:45:00+00:00,2021-08-01 13:46:00+00:00,XAUUSD,Buy,0.18,1866.99,0.0,1868.49,1866.99,-150.0,-27.81,00:00:01:00,-1.03,1005,1200069,2021-07-30 20:55:00+00:00,2021-07-30 20:55:00+00:00
2021-08-01 15:16:00+00:00,2021-08-01 15:19:00+00:00,XAUUSD,Buy,0.18,1859.7,0.0,1853.81,1859.7,589.0,105.21,00:00:03:00,3.94,1004,1200069,2021-07-30 20:55:00+00:00,2021-07-30 20:55:00+00:00
2021-08-03 06:39:00+00:00,2021-08-03 07:22:00+00:00,XAUUSD,Buy,0.18,1700.1,0.0,1698.38,1700.1,172.0,30.15,00:00:43:00,1.09,990,1200449,2021-08-03 06:35:00+00:00,2021-08-03 06:35:00+00:00
2021-08-09 13:48:00+00:00,2021-08-09 13:49:00+00:00,XAUUSD,Buy,0.21,1783.68,0.0,1785.18,1783.68,-150.0,-32.45,00:00:01:00,-1.01,957,1201639,2021-08-09 13:45:00+00:00,2021-08-09 13:45:00+00:00
2021-08-09 13:50:00+00:00,2021-08-09 13:56:00+00:00,XAUUSD,Buy,0.21,1786.9,0.0,1783.82,1786.9,308.0,63.73,00:00:06:00,2.0,956,1201640,2021-08-09 13:50:00+00:00,2021-08-09 13:50:00+00:00
2021-08-10 14:15:00+00:00,2021-08-10 14:20:00+00:00,XAUUSD,Buy,0.24,1762.72,0.0,1764.22,1762.72,-150.0,-37.08,00:00:05:00,-1.01,947,1201921,2021-08-10 14:15:00+00:00,2021-08-10 14:15:00+00:00
2021-09-04 12:50:00+00:00,2021-09-04 13:00:00+00:00,XAUUSD,Buy,0.19,1737.2,0.0,1736.93,1737.2,27.0,4.27,00:00:10:00,0.15,983,1206945,2021-09-03 20:55:00+00:00,2021-09-03 20:55:00+00:00
2021-09-07 22:53:00+00:00,2021-09-07 22:55:00+00:00,XAUUSD,Buy,0.22,1721.8,0.0,1719.37,1721.8,243.0,52.47,00:00:02:00,1.61,962,1207460,2021-09-07 22:50:00+00:00,2021-09-07 22:50:00+00:00
2021-09-12 11:34:00+00:00,2021-09-12 12:00:00+00:00,XAUUSD,Buy,0.26,1775.32,0.0,1776.82,1775.32,-150.0,-40.17,00:00:26:00,-1.02,939,1208277,2021-09-10 20:55:00+00:00,2021-09-10 20:55:00+00:00
2021-10-09 10:48:00+00:00,2021-10-09 12:21:00+00:00,XAUUSD,Buy,0.22,1797.4,0.0,1793.62,1797.4,378.0,82.17,00:01:33:00,2.53,955,1213797,2021-10-08 20:55:00+00:00,2021-10-08 20:55:00+00:00
2021-11-05 14:01:00+00:00,2021-11-05 14:08:00+00:00,XAUUSD,Buy,0.19,1827.5,0.0,1826.52,1827.5,98.0,17.76,00:00:07:00,0.63,978,1219234,2021-11-05 14:00:00+00:00,2021-11-05 14:00:00+00:00
2021-11-06 10:28:00+00:00,2021-11-06 11:40:00+00:00,XAUUSD,Buy,0.2,1893.3,0.0,1890.89,1893.3,241.0,47.3,00:01:12:00,1.54,972,1219317,2021-11-05 20:55:00+00:00,2021-11-05 20:55:00+00:00
2021-12-01 13:27:00+00:00,2021-12-01 13:34:00+00:00,XAUUSD,Buy,0.19,1848.12,0.0,1849.62,1848.12,-150.0,-29.36,00:00:07:00,-1.06,1003,1224093,2021-12-01 13:25:00+00:00,2021-12-01 13:25:00+00:00
2021-12-03 03:18:00+00:00,2021-12-03 05:34:00+00:00,XAUUSD,Buy,0.19,1719.0,0.0,1717.33,1719.0,167.0,30.87,00:02:16:00,1.1,989,1224523,2021-12-03 03:15:00+00:00,2021-12-03 03:15:00+00:00
2021-12-07 15:00:00+00:00,2021-12-07 15:49:00+00:00,XAUUSD,Buy,0.2,1805.8,0.0,1792.92,1805.8,1288.0,256.7,00:00:49:00,8.43,969,1225216,2021-12-07 15:00:00+00:00,2021-12-07 15:00:00+00:00
2022-01-04 15:34:00+00:00,2022-01-04 15:55:00+00:00,XAUUSD,Buy,0.3,1926.2,0.0,1920.99,1926.2,521.0,154.95,00:00:21:00,3.48,906,1230382,2022-01-04 15:30:00+00:00,2022-01-04 15:30:00+00:00
