open_time,close_time,Symbol,action,lots,SL,TP,entry_price,exit_price,pips,profit,Duration (DDHHMMSS),Change %,trade_id,M5_candle_idx,M5_candle_time,M15_candle_idx,M15_candle_time,H1_candle_idx,H1_candle_time,H4_candle_idx,H4_candle_time,D1_candle_idx,D1_candle_time
2024-12-13 07:37:00,2024-12-13 07:44:00,XAUUSD,Buy,0.93,2682.9,0.0,2681.97,2682.9,93.0,82.3,00:00:07:00,0.59,586,1433005.0,2024-12-13 07:35:00,480581.0,2024-12-13 07:30:00,120791.0,2024-12-13 07:00:00,32034.0,2024-12-13 04:00:00,6209.0,2024-12-13
2024-12-11 04:39:00,2024-12-11 04:40:00,XAUUSD,Buy,0.94,2684.67,0.0,2686.17,2684.67,-150.0,-145.23,00:00:01:00,-1.03,587,1432417.0,2024-12-11 04:35:00,480385.0,2024-12-11 04:30:00,120742.0,2024-12-11 04:00:00,32022.0,2024-12-11 04:00:00,6207.0,2024-12-11
2024-12-09 00:37:00,2024-12-09 00:39:00,XAUUSD,Buy,0.95,2627.96,0.0,2629.46,2627.96,-150.0,-146.78,00:00:02:00,-1.03,588,1431817.0,2024-12-09 00:35:00,480185.0,2024-12-09 00:30:00,120692.0,2024-12-09 00:00:00,32009.0,2024-12-09 00:00:00,6205.0,2024-12-09
2024-12-06 01:11:00,2024-12-06 01:12:00,XAUUSD,Buy,0.95,2614.3,0.0,2614.06,2614.3,24.0,18.52,00:00:01:00,0.13,589,1431548.0,2024-12-06 01:10:00,480095.0,2024-12-06 01:00:00,120670.0,2024-12-06 01:00:00,32002.0,2024-12-06 00:00:00,6203.0,2024-12-06
2024-12-04 08:10:00,2024-12-04 08:21:00,XAUUSD,Buy,0.96,2639.16,0.0,2640.66,2639.16,-150.0,-148.32,00:00:11:00,-1.03,590,1431080.0,2024-12-04 08:10:00,479939.0,2024-12-04 08:00:00,120631.0,2024-12-04 08:00:00,31992.0,2024-12-04 08:00:00,6201.0,2024-12-04
2024-12-03 15:05:00,2024-12-03 15:08:00,XAUUSD,Buy,0.97,2639.16,0.0,2640.66,2639.16,-150.0,-149.87,00:00:03:00,-1.03,591,1430887.0,2024-12-03 15:05:00,479875.0,2024-12-03 15:00:00,120615.0,2024-12-03 15:00:00,31987.0,2024-12-03 12:00:00,6200.0,2024-12-03
2024-12-02 01:23:00,2024-12-02 01:48:00,XAUUSD,Buy,0.89,2638.1,0.0,2624.56,2638.1,1354.0,1201.05,00:00:25:00,9.01,592,1430446.0,2024-12-02 01:20:00,479728.0,2024-12-02 01:15:00,120578.0,2024-12-02 01:00:00,31978.0,2024-12-02 00:00:00,6199.0,2024-12-02
2024-11-25 17:29:00,2024-11-25 18:00:00,XAUUSD,Buy,0.88,2627.6,0.0,2625.26,2627.6,234.0,201.96,00:00:31:00,1.54,593,1429316.0,2024-11-25 17:25:00,479351.0,2024-11-25 17:15:00,120483.0,2024-11-25 17:00:00,31952.0,2024-11-25 16:00:00,6193.0,2024-11-25
2024-11-25 01:04:00,2024-11-25 01:05:00,XAUUSD,Buy,0.88,2702.87,0.0,2704.37,2702.87,-150.0,-135.96,00:00:01:00,-1.02,594,1429119.0,2024-11-25 01:00:00,479286.0,2024-11-25 01:00:00,120467.0,2024-11-25 01:00:00,31948.0,2024-11-25 00:00:00,6193.0,2024-11-25
2024-11-21 12:17:00,2024-11-21 12:31:00,XAUUSD,Buy,0.88,2665.4,0.0,2664.47,2665.4,93.0,77.88,00:00:14:00,0.59,595,1428702.0,2024-11-21 12:15:00,479147.0,2024-11-21 12:15:00,120432.0,2024-11-21 12:00:00,31938.0,2024-11-21 12:00:00,6190.0,2024-11-21
2024-11-15 16:42:00,2024-11-15 16:51:00,XAUUSD,Buy,0.87,2564.6,0.0,2562.96,2564.6,164.0,138.76,00:00:09:00,1.06,596,1427735.0,2024-11-15 16:40:00,478824.0,2024-11-15 16:30:00,120351.0,2024-11-15 16:00:00,31915.0,2024-11-15 16:00:00,6185.0,2024-11-15
2024-11-15 06:22:00,2024-11-15 06:55:00,XAUUSD,Buy,0.84,2561.8,0.0,2556.66,2561.8,514.0,427.98,00:00:33:00,3.39,597,1427611.0,2024-11-15 06:20:00,478783.0,2024-11-15 06:15:00,120341.0,2024-11-15 06:00:00,31912.0,2024-11-15 04:00:00,6185.0,2024-11-15
2024-11-14 20:12:00,2024-11-14 20:20:00,XAUUSD,Buy,0.82,2569.5,0.0,2565.76,2569.5,374.0,302.99,00:00:08:00,2.46,598,1427501.0,2024-11-14 20:10:00,478746.0,2024-11-14 20:00:00,120332.0,2024-11-14 20:00:00,31910.0,2024-11-14 20:00:00,6184.0,2024-11-14
2024-11-14 09:33:00,2024-11-14 09:35:00,XAUUSD,Buy,0.83,2545.35,0.0,2546.85,2545.35,-150.0,-128.24,00:00:02:00,-1.03,599,1427373.0,2024-11-14 09:30:00,478704.0,2024-11-14 09:30:00,120321.0,2024-11-14 09:00:00,31907.0,2024-11-14 08:00:00,6184.0,2024-11-14
2024-11-14 05:43:00,2024-11-14 06:06:00,XAUUSD,Buy,0.82,2558.3,0.0,2555.96,2558.3,234.0,188.19,00:00:23:00,1.54,600,1427327.0,2024-11-14 05:40:00,478688.0,2024-11-14 05:30:00,120317.0,2024-11-14 05:00:00,31906.0,2024-11-14 04:00:00,6184.0,2024-11-14
2024-11-13 16:35:00,2024-11-13 16:37:00,XAUUSD,Buy,0.82,2589.8,0.0,2589.56,2589.8,24.0,15.99,00:00:02:00,0.13,601,1427182.0,2024-11-13 16:35:00,478640.0,2024-11-13 16:30:00,120305.0,2024-11-13 16:00:00,31903.0,2024-11-13 16:00:00,6183.0,2024-11-13
2024-11-12 15:07:00,2024-11-12 15:20:00,XAUUSD,Buy,0.79,2610.1,0.0,2605.66,2610.1,444.0,347.2,00:00:13:00,2.92,602,1426888.0,2024-11-12 15:05:00,478542.0,2024-11-12 15:00:00,120281.0,2024-11-12 15:00:00,31896.0,2024-11-12 12:00:00,6182.0,2024-11-12
2024-11-11 13:42:00,2024-11-11 13:44:00,XAUUSD,Buy,0.8,2637.06,0.0,2638.56,2637.06,-150.0,-123.6,00:00:02:00,-1.03,603,1426595.0,2024-11-11 13:40:00,478444.0,2024-11-11 13:30:00,120256.0,2024-11-11 13:00:00,31890.0,2024-11-11 12:00:00,6181.0,2024-11-11
2024-11-11 13:36:00,2024-11-11 13:38:00,XAUUSD,Buy,0.81,2639.86,0.0,2641.36,2639.86,-150.0,-125.15,00:00:02:00,-1.03,604,1426594.0,2024-11-11 13:35:00,478444.0,2024-11-11 13:30:00,120256.0,2024-11-11 13:00:00,31890.0,2024-11-11 12:00:00,6181.0,2024-11-11
2024-11-06 14:36:00,2024-11-06 14:39:00,XAUUSD,Buy,0.8,2657.7,0.0,2654.67,2657.7,303.0,238.8,00:00:03:00,2.01,605,1425778.0,2024-11-06 14:35:00,478172.0,2024-11-06 14:30:00,120188.0,2024-11-06 14:00:00,31871.0,2024-11-06 12:00:00,6177.0,2024-11-06
2024-11-06 14:32:00,2024-11-06 14:33:00,XAUUSD,Buy,0.8,2655.51,0.0,2657.01,2655.51,-150.0,-123.6,00:00:01:00,-1.03,606,1425777.0,2024-11-06 14:30:00,478172.0,2024-11-06 14:30:00,120188.0,2024-11-06 14:00:00,31871.0,2024-11-06 12:00:00,6177.0,2024-11-06
2024-11-06 13:34:00,2024-11-06 13:36:00,XAUUSD,Buy,0.8,2666.8,0.0,2665.87,2666.8,93.0,70.8,00:00:02:00,0.59,607,1425765.0,2024-11-06 13:30:00,478168.0,2024-11-06 13:30:00,120187.0,2024-11-06 13:00:00,31871.0,2024-11-06 12:00:00,6177.0,2024-11-06
2024-11-06 13:17:00,2024-11-06 13:19:00,XAUUSD,Buy,0.8,2680.1,0.0,2679.87,2680.1,23.0,14.8,00:00:02:00,0.12,608,1425762.0,2024-11-06 13:15:00,478167.0,2024-11-06 13:15:00,120187.0,2024-11-06 13:00:00,31871.0,2024-11-06 12:00:00,6177.0,2024-11-06
2024-11-05 15:13:00,2024-11-05 15:16:00,XAUUSD,Buy,0.8,2735.77,0.0,2737.27,2735.77,-150.0,-123.6,00:00:03:00,-1.02,609,1425509.0,2024-11-05 15:10:00,478082.0,2024-11-05 15:00:00,120166.0,2024-11-05 15:00:00,31865.0,2024-11-05 12:00:00,6176.0,2024-11-05
2024-10-29 15:32:00,2024-10-29 15:41:00,XAUUSD,Buy,0.79,2764.8,0.0,2761.78,2764.8,302.0,235.02,00:00:09:00,1.99,610,1424786.0,2024-10-24 20:55:00,477841.0,2024-10-24 20:45:00,120105.0,2024-10-24 20:00:00,31848.0,2024-10-24 20:00:00,6172.0,2024-10-24
2024-10-28 09:05:00,2024-10-28 09:23:00,XAUUSD,Buy,0.79,2731.2,0.0,2731.67,2731.2,-47.0,-40.69,00:00:18:00,-0.34,611,1424786.0,2024-10-24 20:55:00,477841.0,2024-10-24 20:45:00,120105.0,2024-10-24 20:00:00,31848.0,2024-10-24 20:00:00,6172.0,2024-10-24
2024-10-25 09:33:00,2024-10-25 09:36:00,XAUUSD,Buy,0.8,2719.67,0.0,2721.17,2719.67,-150.0,-123.6,00:00:03:00,-1.03,612,1424786.0,2024-10-24 20:55:00,477841.0,2024-10-24 20:45:00,120105.0,2024-10-24 20:00:00,31848.0,2024-10-24 20:00:00,6172.0,2024-10-24
2024-10-24 15:31:00,2024-10-24 15:33:00,XAUUSD,Buy,0.81,2725.29,0.0,2726.79,2725.29,-150.0,-125.15,00:00:02:00,-1.03,613,1424721.0,2024-10-24 15:30:00,477820.0,2024-10-24 15:30:00,120100.0,2024-10-24 15:00:00,31846.0,2024-10-24 12:00:00,6172.0,2024-10-24
2024-10-23 15:14:00,2024-10-23 15:17:00,XAUUSD,Buy,0.8,2728.4,0.0,2726.77,2728.4,163.0,126.8,00:00:03:00,1.06,614,1424441.0,2024-10-23 15:10:00,477726.0,2024-10-23 15:00:00,120077.0,2024-10-23 15:00:00,31840.0,2024-10-23 12:00:00,6171.0,2024-10-23
